#note_time|1.0
#song_time|2.766
#song_bpms|0180  #note|beat|bpm|speed
0030|008|000|000
0004|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0200|008|000|000
1000|008|000|000
0000|008|000|000
0000|008|000|000
1000|008|000|000
0000|008|000|000
0000|008|000|000
0004|008|000|000
1000|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
1000|008|000|000
0004|008|000|000
0000|008|000|000
0000|008|000|000
0004|008|000|000
0000|008|000|000
0000|008|000|000
0200|008|000|000
0030|008|000|000
1000|008|000|000
0000|008|000|000
0000|008|000|000
1000|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0004|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0004|008|000|000
1000|008|000|000
0030|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0000|008|000|000
0000|008|000|000
1000|008|000|000
0030|008|000|000
0200|008|000|000 # result
0004|008|000|000
0000|016|000|000
0030|004|000|000
0030|008|000|000 # result
0000|008|000|000
0000|008|000|000
0000|008|000|000
0000|008|000|000
0000|008|000|000
1000|008|000|000
0000|008|000|000
0200|004|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0000|008|000|000
0004|008|000|000 # result
0000|008|000|000
0000|008|000|000
0000|008|000|000
0000|008|000|000
0000|008|000|000
0000|004|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0000|008|000|000
0004|008|000|000 # result
0000|008|000|000
0000|008|000|000
0000|008|000|000
0000|004|000|000
1000|004|000|000 # result
0004|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0000|008|000|000
0000|008|000|000
0004|008|000|000
0000|008|000|000
0200|008|000|000
0000|008|000|000
0000|008|000|000
1000|008|000|000
0000|008|000|000
0000|008|000|000
0030|008|000|000
0000|008|000|000
0004|004|000|000 # result
0000|008|000|000
0000|008|000|000
0200|008|000|000
1000|008|000|000
1000|008|000|000
0000|008|000|000
0030|008|000|000 # result
0000|008|000|000
1000|008|000|000
0000|008|000|000
0000|008|000|000
0004|008|000|000
0200|008|000|000 # result
0000|008|000|000
1000|008|000|000
0030|008|000|000
0000|008|000|000
0004|008|000|000
0000|008|000|000
0004|016|000|000
0030|008|000|000 #result
0200|008|000|000
1000|008|000|000
